"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"1221175","1","1","4","","","","","","","","","","","","","","1","1","","Kisayani","Kikumbulyu","Kitui south","3","","-66","Motorcycle","7 1 3 5","","1","","0","1","","","1","18fff8a6-4e5f-11ed-924d-040300000000"
"1221176","1","1","3","","3","","Ikutha","Ikutha","Kitui south","1","","1","","1","1","","0","","","","","","1","","-77","","1 3","","1","","1","","","","4","1fb380b9-4e5f-11ed-924d-040300000000"
"1221177","1","1","3","","3","","Ikutha","Ikutha","Kitui south","1","","2","","1","1","","0","","","","","","1","","-77","","3 7","","1","","1","","","","4","07f9c00e-4e5f-11ed-924d-040300000000"
"1221178","1","1","1","","1","","Syanga","Ikutha","Kitui south","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","186084cf-4e5f-11ed-924d-040300000000"
"1221179","1","1","1","","1","","Kyangu","Ikutha","Kitui south","4","","-66","Motorbike","0","","","","","","","","","","","","","","","","","","","","","","34aa982b-4e5f-11ed-924d-040300000000"
"1221180","1","1","4","","","","","","","","","","","","","","1","1","","Kibwezi","Kibwezi","Kibwezi","2","","2","","4 5 1","","-66","Visits the market rarely","0","","","","1","1391bac8-4e5f-11ed-924d-040300000000"
"1221181","1","1","1","","1","","Mutunu","Ikutha","Kitui south","4 2","","-66","Motorcycle","1","1 5","","","","","","","","","","","","","","","","","","","","","1477eacf-4e5f-11ed-924d-040300000000"
"1221877","1","1","1","","1","","Mutitu","Mutitu","Kitui east","2","","-66","Motorbike","0","","","","","","","","","","","","","","","","","","","","","","1f80791f-4f28-11ed-924d-040300000000"
"1221878","1","1","1","","1","","Kikuu","Zombe","Kitui east","2","","1","","1","4","","","","","","","","","","","","","","","","","","","","","05718981-4f28-11ed-924d-040300000000"
"1221879","1","1","1","","1","","Ngungi","Zombe mwitka","Kitui east","2 4","","1","","1","1","","","","","","","","","","","","","","","","","","","","","fddd2b9d-4f27-11ed-924d-040300000000"
"1221880","1","1","1","","1","","Makongo","Zombe  mwitika","Kitui east","2 4","","1","","1","1","","","","","","","","","","","","","","","","","","","","","0a0efec8-4f28-11ed-924d-040300000000"
"1221881","1","1","1","","1","","Zombe","Zombe  mwitika","Kitui east","2 4","","1","","1","4","","","","","","","","","","","","","","","","","","","","","ff998182-4f27-11ed-924d-040300000000"
"1221882","1","1","3","","1","","Kaliku","Mutitu","Kitui east","1","","2","","1","4","","0","","","","","","1","","-66","Only  sell to this market","1 2 3 4 5","","1","","1","","","1000","2","1fe4cbc3-4f28-11ed-924d-040300000000"
"1221883","1","1","1","","1","","Zombe","Zombe mwitika","Kitui east","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","1f40e0a2-4f28-11ed-924d-040300000000"
"1221884","1","1","3","","3","","Zombe","Zombe /mwitika","Kitui east","1","","2","","0","","","1","3","","Kalundu","Central","Kitui central","1 2","","2","","8 1 3 -66","Height,","-66","None","1","","","500","24","f82a5cfa-4f27-11ed-924d-040300000000"
"1221885","1","1","1","","1","","Mwitika","Zombe mwitika","Kitui east","2 4","","1","","1","4","","","","","","","","","","","","","","","","","","","","","196eb4c6-4f28-11ed-924d-040300000000"
"1221886","1","1","3","","1","","Mwitika","Zombe mwitika","Kitui east","1 6","","2","","1","1 4","","1","3","","Endau","Endau malalani","Kitui east","1","","2","","1 3 -66","Height","1 4","","1","","","520","4","231f9c2a-4f28-11ed-924d-040300000000"
"1221887","1","1","3","","1","","Zombe","Zombe","Kitui east","1","","1","","1","4","","1","1","","Zombe","Zombe","Kitui east","1","","1","","1 3","","1","","1","","","100","4","f67ee07a-4f27-11ed-924d-040300000000"
"1221888","1","1","1","","1","","Mwitika","Zombe mwitika","Kitui east","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","0a5fb102-4f28-11ed-924d-040300000000"
"1221889","1","1","1","","1","","Kaumu","Zombe mwitika","Kitui east","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","0809a36c-4f28-11ed-924d-040300000000"
"1221890","1","1","1","","1","","Kitho","Zombe","Kitui east","2","","1","","1","4","","","","","","","","","","","","","","","","","","","","","fb18a812-4f27-11ed-924d-040300000000"
"1221891","1","1","1","","1","","Ngungi","Zombe","Kitui east","2","","1","","1","4","","","","","","","","","","","","","","","","","","","","","f7b4b384-4f27-11ed-924d-040300000000"
"1221893","1","1","1","","1","","Makongo","Zombe","Kitui east","4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","039e057c-4f28-11ed-924d-040300000000"
"1221894","1","1","3","","3","","Zombe","Zombe","Kitui east","1","","2","","1","1","","0","","","","","","1","","-66","","1 4 3","","1","","1","","","1000","4","fc45893c-4f27-11ed-924d-040300000000"
"1221895","1","1","1","","1","","Katikoni","Zombe","Kitui east","4 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","25809f30-4f28-11ed-924d-040300000000"
"1221896","1","1","1","","1","","Kathanthe","Zombe","Kitui east","2 4","","2","","0","","","","","","","","","","","","","","","","","","","","","","0868197e-4f28-11ed-924d-040300000000"
"1221897","1","1","1","","1","","Ithangathi","Zombe","Kitui east","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","0c81b780-4f28-11ed-924d-040300000000"
"1221899","1","1","1","","1","","Kyango","Mutha","Kitui east","6","","2","","1","4","","","","","","","","","","","","","","","","","","","","","22c75933-4f28-11ed-924d-040300000000"
"1221900","1","1","3","","3","","Zombe","Zombe","Kitui east","1","","2","","0","","","0","","","","","","1","","-66","","5 4","","-66","None","1","","","1000","4","fb43db49-4f27-11ed-924d-040300000000"
"1221901","1","1","1","","1","","Makutano","Zombe","Kitui east","2 4","","1","","1","1","","","","","","","","","","","","","","","","","","","","","107f5ee0-4f28-11ed-924d-040300000000"
"1221902","1","1","3","","3","","Zombe","Zombe","Kitui east","2","","2","","1","4","","0","","","","","","1","","-66","None","1 2","","1 4 5","","1","","","500","1","2b62e911-4f28-11ed-924d-040300000000"
"1221987","1","1","3","","1","","Gwasi","Gwasi South","Suba South","1","","1","","1","1 5","","1","1","","Kosir","Central kamagambo","Rongo","1","","1","","2 1 3 8","","1 5","","1","","","500","4","2809eb60-4f28-11ed-924d-040300000000"
"1221988","1","1","1","","1","","Kiabuya","South Gwasi","Suba South","1","","-66","Bodaboda","1","5 1 4","","","","","","","","","","","","","","","","","","","","","1ee2d111-4f28-11ed-924d-040300000000"
"1221989","1","1","3","","1","","Nyatambe","Gwasi South","Suba South","1","","1","","1","1 4 5","","1","1","","Nyatambe","Gwasi South","Suba South","1 6","","1","","1 2 8","","1 4 5","","1","","","500","4","06e1999d-4f28-11ed-924d-040300000000"
"1221990","1","1","3","","1","","Kiranda","Kachieng","Kanyasa","1","","1","","1","1 5 4","","1","1","","Kiranda","Kanyasa","Nyatike","1 6","","1","","1 3 2 5 8","","1 4","","1","","","500","4","0f038406-4f28-11ed-924d-040300000000"
"1221991","1","1","3","","1","","Magunga","","","1","","1","","1","1","","1","1","","Miroa Village","Gwasi South","Suba South","1 6","","1","","1 2 3 8 7 6","","1","","1","","","500","4","0eaf42e8-4f28-11ed-924d-040300000000"
"1222015","1","1","2 3","","1","","Lambwe","Gwasi East ","Suba South ","1 2","","1","","1","1","","1","3","","Aora Chuodho","Kasirime ","Ndhiwa","1 2","","2","","1 3 4 5 7 8","","1","","1","","","1500","4","1838d838-4f28-11ed-924d-040300000000"
"1222016","1","1","1","","1","","Saka","Gwasi south","Suba south","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","f4c22025-4f27-11ed-924d-040300000000"
"1222017","1","1","4","","","","","","","","","","","","","","1","3","","Riosiri","Central Kamagambo ","Rongo ","8","","2","","1 3 4 2","","4","","0","4","","","4","fdf6b418-4f27-11ed-924d-040300000000"
"1222018","1","1","3","","3","","Magunga","Gwasi central","Suba south","1 2 3 4 5","","2","","1","1 4","","1","3","","Aora Chuodho","Kasirime ","Ndhiwa","1 2","","2","","1 3 4 8","","1 4","","0","1 4","","","4","0e7c8e32-4f28-11ed-924d-040300000000"
"1222019","1","1","2 3","","2","","Gwasi","Gwasi East","Suba south","1 2","","1","","0","","","1","3","","Magunga","Gwasi central","Suba south","1 2","","1","","1 3 2 8","","1 4","","0","1 4","","","4","2271d660-4f28-11ed-924d-040300000000"
"1222020","1","1","1","","2","","Kasongo","Gwasi central","Suba south","3 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","119e48c3-4f28-11ed-924d-040300000000"
"1222021","1","1","3 2","","1","","God keyo","Kanyasa","Nyatike","1 2 3 4 5 6 7","","1","","1","1","","1","1","","Kimae ","Macalder Kanyarwanda ","Nyatike","1 2 3","","2","","1 3 4 8","","1 5","","0","1","","","4","f8c29a67-4f27-11ed-924d-040300000000"
"1222239","1","1","3","","1","","Nyatambe","Gwasi south","Suba south","1","","1","","0","","","1","1","","Nyatambe","Gwasi south","Homabay","1","","","","1 2 3","","1","","1","","","500","4","f4043ad2-4f27-11ed-924d-040300000000"
"1222240","1","1","3","","1","","Raguda","Kachieng","Nyatike","1","","-66","Motorcycle","1","1","","1","1","","Raguda","Kachieng","Nyatike","1","","1","","1 2 3 8","","1","","1","","","500","4","2a8b44f4-4f28-11ed-924d-040300000000"
"1222241","1","1","3","","1","","Wiga","Gwasi south","Suba south","1","","1","","1","1","","1","1","","Wiga","Gwasi south","Suba south","1","","1","","1 2 3","","1","","1","","","500","4","1d495d63-4f28-11ed-924d-040300000000"
"1222242","1","1","3","","1","","God keyo","Kanyasa","Nyatike","1","","1","","0","","","1","1","","God keyo","Kanyasa","Nyatike","1","","1","","1 2 3 4","","-66","He  doesn`t buy other species","1","","","500","4","0f658c5d-4f28-11ed-924d-040300000000"
"1222243","1","1","3","","1","","Magunga market , wiga village","Gwasi south","Suba south","1","","1","","1","1","","1","1","","Wiga village","Gwasi south","Suba south","1","","1","","1 3 2 4","","1","","1","","","400","4","18e6b75a-4f28-11ed-924d-040300000000"
"1222244","1","1","3","","1","","Kimange Miramba","","Homabay county","1","","1","","1","1","","1","1","","Miramba","","Homabay county","1","","1","","1 2 3","","1","","1","","","1000","4","08f2b0cb-4f28-11ed-924d-040300000000"
"1222393","1","1","-66","Selling as a business ","1","","Gwasi south","","Suba","1","","1","","1","","","1","1","","Gwasi south","","Suba","-66","Doesn`t buy here","1","","-66","Buys anything as long as it can reach the market","1","","0","1","","","4","3fead0f9-4ff1-11ed-924d-040300000000"
"1222396","1","1","-66","Buying only to go and sell in other markets ","-66","Does not sell in this market ","","","","1 -66","Does not sell in this market ","-77","","0","","","1","2","","Oyugis","Oyugis ","Homabay county","1","","2","","1 -66","Body structure","-66","None","1","","","1000","4","32d2c9f1-4ff1-11ed-924d-040300000000"
"1222398","1","1","3","","1","","Kiabuya","Magunga","Suba south","1","","1","","1","1","","1","1","","Kiabuya","Magunga","Suba South ","1","","1","","1 3","","1","","1","","","1000","4","4de03a20-4ff1-11ed-924d-040300000000"
"1222399","1","1","3","","3","","Magunga","Gwasi central","Homabay county ","1","","1","","1","1","","1","1","","Pundo","Gwasi south","Suba south","1","","1","","1 3","","1","","0","-66","Will buy what can bring profit","","4","335b502e-4ff1-11ed-924d-040300000000"
"1222655","1","1","1","","1","","Kyongweni","Kivou","Mwingi central","2 1","","1","","1","4","","","","","","","","","","","","","","","","","","","","","3f229dee-4ff1-11ed-924d-040300000000"
"1222656","1","1","3","","3","","Mbangali","Mbangali ","Bura","1 6","","2","","1","1","","1","3","","Kithyoko","Kivou","Mwingi central","1","","2","","1 3","","1","","1","","","500","24","39ce4141-4ff1-11ed-924d-040300000000"
"1222657","1","1","3","","1","","Mbangali","Mbangali","Bura","1","","2","","0","","","0","","","","","","1","","2","","1 3","","","","1","","","500","8","36671813-4ff1-11ed-924d-040300000000"
"1222658","1","1","4","","","","","","","","","","","","","","1","1","","Endei","Kithyoko","Kithyoko","3","","2","","8 3 1","","-66","Dont buy","0","-66","No","","1","533d10ee-4ff1-11ed-924d-040300000000"
"1222659","1","1","1 4","","1","","Mboru","Central","Mwingi central","6 2","","1","","0","","","1","1","","Mboru","Central","Mwingi central","2 3","","1","","1 3 8 4 5 2 -66","Ears if long","-66","Dont buy","1","","","200","4","32dc82ca-4ff1-11ed-924d-040300000000"
"1222660","1","1","3","","1","","Kyanundu","Kivou","Mwingi central","1 6","","-66","Motorbike","1","4","","1","1","","Kyanundu","Kivou","Mwingi central","1","","-66","Motorbike","1 3 2","","4","","1","","","200","12","4574933e-4ff1-11ed-924d-040300000000"
"1222661","1","1","3","","1","","Matigani","Central ward","Mwingi central","1 6","","1","","0","","","1","1","","Mathyakani","Central","Mwingi central","1","","1","","1 3","","-66","Dont buy","1","","","500","8","2b810902-4ff1-11ed-924d-040300000000"
"1222662","1","1","3","","1","","Kiomo","Kyomo/kyethani","Mwingi west","1","","1","","0","","","1","1","","Kyomo/kyethani","Kyomo/kyethani","Mwingi west","1","","2","","1 3","","-66","None","1","","","400","4","50666434-4ff1-11ed-924d-040300000000"
"1222663","1","1","1","","1","","Muna","Waita","Mwingi central","6","","2","","0","","","","","","","","","","","","","","","","","","","","","","3f341098-4ff1-11ed-924d-040300000000"
"1222664","1","1","1","","1","","Kitise","Mui","Mwingi central","2 4","","2","","0","","","","","","","","","","","","","","","","","","","","","","3e14f159-4ff1-11ed-924d-040300000000"
"1222670","1","1","3","","-66","Don`t  am only a buyer here","","","","1","","2","","0","","","1","2","","Kandara","Kandara","Muranga","1","","2","","1 2 3 4 6","","4","","0","-66","Reduce  numbers  purchased or change  market","","12","388b7925-4ff1-11ed-924d-040300000000"
"1222671","1","1","1","","1","","Kamuwongo ","Kyuso ","Mwingi north ","2 4","","2","","0","","","","","","","","","","","","","","","","","","","","","","4320c9e2-4ff1-11ed-924d-040300000000"
"1222672","1","1","1","","1","","Mathuki","Mui","Mwingi central","2 4","","2","","0","","","","","","","","","","","","","","","","","","","","","","3d597349-4ff1-11ed-924d-040300000000"
"1222673","1","1","3","","1","","Kamuwongo","Kyuso","Mwingi north","1","","2","","0","","","0","","","","","","1","","2","","1 2 4 3","","-66","None","1","","","500","12","3589dda6-4ff1-11ed-924d-040300000000"
"1222674","1","1","-66","Buyer","-66","Only buying","","","","6","","-66","I only  came to buy","0","","","1","1","","Kyome thaana","Kyome","Mwingi west","5","","1","","1 2 4 3 5","","-66","None","0","-66","None","","1","2b76727b-4ff1-11ed-924d-040300000000"
"1222675","1","1","1","","1","","Thitha","Kivou","Mwingi central","2 4","","2","","1","","","","","","","","","","","","","","","","","","","","","","525b4d4e-4ff1-11ed-924d-040300000000"
"1222676","1","1","1","","1","","Mathyakani","Mwingi township","Mwingi central","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","4d7e7da6-4ff1-11ed-924d-040300000000"
"1222677","1","1","1","","1","","Kanzanzu","Mwingi township","Mwingi central","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","37184a52-4ff1-11ed-924d-040300000000"
"1222678","1","1","1","","1","","Kisama","Kivou","Mwingi central","2 4","","1","","1","","","","","","","","","","","","","","","","","","","","","","1c420a1a-4ff1-11ed-924d-040300000000"
"1222679","1","1","1","","1","","Kyethani","Kyome","Mwingi west","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2827e140-4ff1-11ed-924d-040300000000"
"1222682","1","1","1","","1","","Musuani","Kyome thaana","Mwingi west","4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","3ec345aa-4ff1-11ed-924d-040300000000"
"1222683","1","1","1","","1","","Musuani","Kyome thaana","Mwingi west","4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","501f34e9-4ff1-11ed-924d-040300000000"
"1222684","1","1","3","","3","","Mwingi","Kivou","Mwingi central","1","","-77","","0","","","0","","","","","","1","","-77","","1 3 2","","-66","","1","","","1000","4","476ee5bf-4ff1-11ed-924d-040300000000"
"1222685","1","1","3","","3","","Mwingi","Kivou","Mwingi central","1","","-77","","1","4","","0","","","","","","1","","-77","","1 2","","4","","1","","","500","4","27b6cf6d-4ff1-11ed-924d-040300000000"
"1222686","1","1","1","","1","","Kalisasi","Township","Mwingi central","2 4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","494f742e-4ff1-11ed-924d-040300000000"
"1222687","1","1","1","","1","","Ikuuni","Township","Mwingi central","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","28e9d55d-4ff1-11ed-924d-040300000000"
"1222688","1","1","1","","1","","Mbondoni","Kyome thaana","Mwingi west","-66","To buy seeds for planting","2","","1","1","","","","","","","","","","","","","","","","","","","","","37f472a9-4ff1-11ed-924d-040300000000"
"1222689","1","1","1","","1","","Thitani","Ngutani","Mwingi west","-66","Destocking","2","","1","1","","","","","","","","","","","","","","","","","","","","","2b500fe0-4ff1-11ed-924d-040300000000"
"1222690","1","1","1","","1","","Thumbi","Kivou","Mwingi central","4","","1","","0","","","","","","","","","","","","","","","","","","","","","","40983f09-4ff1-11ed-924d-040300000000"
"1222801","1","1","3","","3","","Bangale","Bangale","Tanariver","1","","2","","0","","","1","1","","Kyanika","Kivou","Mwingi central","-66","Am selling only","-66","Leave with a friend near the market at an agreed price to sell next week, at same market","1 3","","-66","Na","1","","","0","4","31c4a0d5-4ff1-11ed-924d-040300000000"
"1222802","1","1","3","","3","","Bangale","Bangale","Tana  north","1","","2","","0","","","1","1","","Kyanika","Kivou","Mwingi north","1","","1","","2 3 -66","Person selling","-66","Na","1","","","500","4","4f8ec021-4ff1-11ed-924d-040300000000"
"1222803","1","1","3","","3","","Bangale","Bangale","Tanariver","1","","2","","0","","","0","","","","","","-66","Am selling","1","","4 1 2 3","","-66","Na","1","","","0","4","2377341b-4ff1-11ed-924d-040300000000"
"1222804","1","1","3","","3","","Bangale","Bangale ","Tanariver","1","","2","","0","","","0","","","","","","1 -66","Am selling","1","","3 1 -66 2","","-66","Na","1","","","500","4","47ae8396-4ff1-11ed-924d-040300000000"
"1222806","1","1","3","","3","","Mwingi","Kivou","Mwingi central","1","","2","","0","","","1","2","","Kwamuthusi","Khomeini thaana","Mwingi west","8","","2","","1 3 4 2","","-66","Na","1","","","1000","4","2783f1a6-4ff1-11ed-924d-040300000000"
"1222807","1","1","1","","1","","Waita","Waita","Mwingi central","2 4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","3801276f-4ff1-11ed-924d-040300000000"
"1222808","1","1","3","","3","","Mwingi ","Kivou ","Mwingi central ","1","","2","","0","","","1","2","","Kagari","Kagari","Kigumo","1 8","","2","","1 3 2","","-66","Na","1","","","0","4","3e1abe3c-4ff1-11ed-924d-040300000000"
"1222809","1","1","3","","3","","Mwingi","Kivou","Mwingi central","1","","-77","","0","","","1","2","","Kagari","Kagari","Kigumo","8","","2","","3 1 -66","Pregnancy","-66","Na","1","","","1000","4","1b6445b5-4ff1-11ed-924d-040300000000"
"1222810","1","1","1","","1","","Tyaa","Central","Mwingi central","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","42d5629c-4ff1-11ed-924d-040300000000"
"1222811","1","1","3","","3","","Mwingi","Kivou","Mwingi central","1","","-77","","0","","","1","2","","Kamwagi","Kamwagi","Katundu north","8","","2","","1 3 2","","-66","Na","","","","","4","3756717e-4ff1-11ed-924d-040300000000"
"1222819","1","1","1","","1","","Kisanjani","Kuku","Kajiado South","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","44b56c22-4ff1-11ed-924d-040300000000"
"1222820","1","1","1","","1","","Risa","Entonet","Kajiado south ","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","43d53e03-4ff1-11ed-924d-040300000000"
"1222821","1","1","1","","1","","Lorngosua","Imbirikani ","Kajiado south ","2 -66","Feeding cows","2","","0","","","","","","","","","","","","","","","","","","","","","","213e5303-4ff1-11ed-924d-040300000000"
"1222822","1","1","1","","1","","Chyulu","Kuku","Kajiado South","2 -66","Feeding","2","","1","1","","","","","","","","","","","","","","","","","","","","","2979a11f-4ff1-11ed-924d-040300000000"
"1222823","1","1","1","","1","","Namelok","Imbirikani","Kajiado South ","2","","-66","Motorcycle","0","","","","","","","","","","","","","","","","","","","","","","2c357453-4ff1-11ed-924d-040300000000"
"1222824","1","1","4","","","","","","","","","","","","","","1","1","","Noomayianat","Kimana","Kajiado south","5","","1","","1 3 2 4","","-66","None","0","-66","None","","4","266d93a6-4ff1-11ed-924d-040300000000"
"1222825","1","1","3","","1","","Nkariak ronkena","Kimana","Kajiado south ","1","","2","","0","","","0","","","","","","1","","-66","Doesnt","1 2 3","","-66","None","0","-66","None","","4","2ab806d3-4ff1-11ed-924d-040300000000"
"1222826","1","1","1","","1","","Paranai","Kimana","Kajiado south","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","490ad436-4ff1-11ed-924d-040300000000"
"1222827","1","1","1","","1","","Risa","Entonet lenkisim ","Kajiado south ","2","","-66","Motorcycle","0","","","","","","","","","","","","","","","","","","","","","","35661fa2-4ff1-11ed-924d-040300000000"
"1222830","1","1","1","","1","","Imbirikani","Imbirikani/Eselenkei","Kajiado south","2 5","","2","","0","","","","","","","","","","","","","","","","","","","","","","1afafb04-4ff1-11ed-924d-040300000000"
"1222831","1","1","1","","1","","Inkoisuk","Imbirikani/Eselenkei","Kajiado south","2 5","","2","","0","","","","","","","","","","","","","","","","","","","","","","3be797da-4ff1-11ed-924d-040300000000"
"1222832","1","1","1","","1","","Nkama","Kuku","Kajiado south","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","284af7a5-4ff1-11ed-924d-040300000000"
"1222833","1","1","3","","1","","Namelok","Kimana","Kajiado south","1","","2","","0","","","1","2","","Namelok","Kimana","Kajiado south","1","","","","1 2 3 4","","-66","Doesn`t sell any other animals ","1","","","3000","4","26ae0173-4ff1-11ed-924d-040300000000"
"1222834","1","1","1","","3","","Kimana","Kimana","Kajiado","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","50f1913e-4ff1-11ed-924d-040300000000"
"1222835","1","1","-66","Inspect animal health around the market","-66","Most the animals come from vallages","Imbirikani, Eselenkei,kuku, kimana","Kimana","Kajiado south","-66","To of see animal health a crossing the market and vallages","1","","0","","","0","","","","","","1 3 4","","1","","1 2 3 4","","1","","1","","","5000","8","1eb299a2-4ff1-11ed-924d-040300000000"
"1222836","1","1","1","","1","","Tikondo","Kimana","Kajiado south","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","333dbae7-4ff1-11ed-924d-040300000000"
"1222837","1","1","1","","1","","Lemong","Kimana","Kajiado south","2 5","","2","","0","","","","","","","","","","","","","","","","","","","","","","4c9f72b3-4ff1-11ed-924d-040300000000"
"1222838","1","1","1","","1","","Seneti","Imbirikani/Eselenkei","Kajiado south","2 5","","1","","1","-66","Doesn`t sell any other animals ","","","","","","","","","","","","","","","","","","","","3fe53bc1-4ff1-11ed-924d-040300000000"
"1222839","1","1","1","","1","","Olnchoro","Entonet/lenkisim","Kajiado south","5 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","4a947e49-4ff1-11ed-924d-040300000000"
"1222840","1","1","1","","1","","Esambu","Imbirikani/Eselenkei","Kajiado south","2 5 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","4fe8ecd3-4ff1-11ed-924d-040300000000"
"1222841","1","1","1","","1","","Olntiasika","Kuku","Kajiado south","5 2 4 1","","2","","0","","","","","","","","","","","","","","","","","","","","","","4ffcad14-4ff1-11ed-924d-040300000000"
"1222842","1","1","1","","1","","Esiteti","Entonet Lenkisim ","Kajiado south ","-66","Feed for animals","2","","1","1","","","","","","","","","","","","","","","","","","","","","3642565c-4ff1-11ed-924d-040300000000"
"1222843","1","1","1","","1","","Esiteti","Rombo","Kajiado south ","2 -66","Feed for animals","2","","1","1","","","","","","","","","","","","","","","","","","","","","3223dac8-4ff1-11ed-924d-040300000000"
"1222844","1","1","1","","1","","Entonet","Entonet Lenkisim ","Kajiado south ","-66 2","Feed for animals","-66","On foot and the weak ones were carried by vehicle","0","","","","","","","","","","","","","","","","","","","","","","514afc2f-4ff1-11ed-924d-040300000000"
"1222845","1","1","1","","1","","Noomayianat","Kimana","Kajiado south ","2 -66","Feed for animals and the drought","1","","0","","","","","","","","","","","","","","","","","","","","","","2295ee45-4ff1-11ed-924d-040300000000"
"1222846","1","1","1","","1","","Enkusero","Rombo","Kajiado south ","-66","Feed for animals","2","","0","","","","","","","","","","","","","","","","","","","","","","3f87f5c2-4ff1-11ed-924d-040300000000"
"1222847","1","1","1","","1","","Ildonyio","Rombo","Kajiado south ","2 4 -66","Feed for animals","1","","0","","","","","","","","","","","","","","","","","","","","","","28392c58-4ff1-11ed-924d-040300000000"
"1222848","1","1","1","","1","","Ildonyio","Kuku","Kajiado south ","2 -66","Feed for animals","-66","On foot or by vehicle","1","1","","","","","","","","","","","","","","","","","","","","","3eb359b1-4ff1-11ed-924d-040300000000"
"1222849","1","1","1","","1","","Enkorika","Kuku","Kajiado south ","2 -66","Feed for animals","2","","0","","","","","","","","","","","","","","","","","","","","","","41a49d7d-4ff1-11ed-924d-040300000000"
"1222850","1","1","1","","1","","Kitirua","Entonet Lenkisim ","Kajiado south ","2 -66","Feed for animals","2","","1","1","","","","","","","","","","","","","","","","","","","","","3478cd53-4ff1-11ed-924d-040300000000"
"1222851","1","1","1","","1","","Namelok","Kimana","Kajiado south ","-66","Feed for animals","2","","0","","","","","","","","","","","","","","","","","","","","","","44f6dcc0-4ff1-11ed-924d-040300000000"
"1222852","1","1","1","","1","","Noomayianat","Kimana","Kimana","-66 2","Feed for animals","1","","1","1","","","","","","","","","","","","","","","","","","","","","358d1d5d-4ff1-11ed-924d-040300000000"
"1222854","1","1","1","","1","","Shurie","Rombo","Rombo","2 4 -66","Feed for animals","1","","0","","","","","","","","","","","","","","","","","","","","","","225b7205-4ff1-11ed-924d-040300000000"
"1222855","1","1","1 3","","-66","Nkama village and kimana market","","Kuku","Kajiado south ","2 1 4 -66","Feed for animals","1","","1","1","","1","1","","Nkama","Kuku","Kajiado south ","1 2","","1","","1 3","","1","","1","","","1000","12","1ab4bcd9-4ff1-11ed-924d-040300000000"
"1222856","1","1","1 3","","1","","Marlal","Kuku","Kajiado south ","1 2","","-66","Motorbike","1","1","","1","3","","Rombo or kimana","Rombo","Kajiado south ","1 2","","1","","1 2 4 3","","1","","1","","","3000","12","3b923a66-4ff1-11ed-924d-040300000000"
"1222857","1","1","4","","","","","","","","","","","","","","1","1","","Illasit","Rombo ","Kajiado south ","2 3","","1","","1 3 2 4 5","","-66","None","1","","","3000","1","31fecd05-4ff1-11ed-924d-040300000000"
