"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"1154890","1","1","1","Rujewa","Rujewa","Mbarali","1","3b89d4aa-dec9-11ec-9416-9440c9ab47f0"
"1154890","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","3b89f988-dec9-11ec-9416-9440c9ab47f0"
"1154892","1","1","1","Rujewa","Rujewa","Mbarali","1","438c365e-dec9-11ec-9416-9440c9ab47f0"
"1154892","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","438c59e4-dec9-11ec-9416-9440c9ab47f0"
"1154893","1","1","1","Rujewa","Rujewa","Mbarali","1","4b2fceef-dec9-11ec-9416-9440c9ab47f0"
"1154894","1","1","1","Rujewa","Rujewa","Mbarali","1","49123a86-dec9-11ec-9416-9440c9ab47f0"
"1154895","1","1","1","Saja","Saja","Wanging`ombe","1","4b558420-dec9-11ec-9416-9440c9ab47f0"
"1154895","1","2","2","Wanging`ombe","Wanging`ombe","Wanging`ombe","1","4b55a19c-dec9-11ec-9416-9440c9ab47f0"
"1154896","1","1","1","Saja","Wanging`ombe","Mbarali","1","47a5652b-dec9-11ec-9416-9440c9ab47f0"
"1154897","1","1","1","Rujewa","Rujewa","Mbarali","1","3ebe5d11-dec9-11ec-9416-9440c9ab47f0"
"1154897","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","3ebe74a5-dec9-11ec-9416-9440c9ab47f0"
"1154897","1","3","3","Utengule usangu","Utengule usangu","Mbarali","1","3ebe975a-dec9-11ec-9416-9440c9ab47f0"
"1154900","1","1","1","Rujewa","Rujewa","Mbarali","1","3637c45f-dec9-11ec-9416-9440c9ab47f0"
"1154900","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","3637d45c-dec9-11ec-9416-9440c9ab47f0"
"1154901","1","1","1","Imalilosongwe","Imalilosongwe","Mbarali","1","3c549a4b-dec9-11ec-9416-9440c9ab47f0"
"1154901","1","2","2","Rujewa","Rujewa","Mbarali","1","3c54a7dd-dec9-11ec-9416-9440c9ab47f0"
"1154902","1","1","1","Madibira","Madibira","Mbarali","1","426d5c17-dec9-11ec-9416-9440c9ab47f0"
"1154903","1","1","1","Mapogoro","Mapogoro","Mbarali","1","45292b14-dec9-11ec-9416-9440c9ab47f0"
"1154903","1","2","2","Madibira","Madibira","Mbarali","1","4529398e-dec9-11ec-9416-9440c9ab47f0"
"1154904","1","1","1","Rujewa","Rujewa","Mbarali","1","39e589cd-dec9-11ec-9416-9440c9ab47f0"
"1154904","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","39e6da35-dec9-11ec-9416-9440c9ab47f0"
"1154904","1","3","3","Mapogoro","Mapogoro","Mbarali","1","39e75a64-dec9-11ec-9416-9440c9ab47f0"
"1154904","1","4","4","Madibira","Madibira","Mbarali","1","39e7addc-dec9-11ec-9416-9440c9ab47f0"
"1154905","1","1","1","Rujewa","Rujewa","Mbarali","1","4f12cff8-dec9-11ec-9416-9440c9ab47f0"
"1154907","1","1","1","Mapogoro","Mapogoro","Mbarali","1","5008b768-dec9-11ec-9416-9440c9ab47f0"
"1154909","1","1","1","Madibira","Madibira","Mbarali","1","4337ddea-dec9-11ec-9416-9440c9ab47f0"
"1154909","1","2","2","Mapogoro","Mapogoro","Mbarali","1","4337ef44-dec9-11ec-9416-9440c9ab47f0"
"1154912","1","1","1","Rujewa","Rujewa","Mbarali","1","46512e6e-dec9-11ec-9416-9440c9ab47f0"
"1154914","1","1","1","Mapogoro","Mapogoro","Mbarali","1","4cf3507d-dec9-11ec-9416-9440c9ab47f0"
"1154914","1","2","2","Madibira","Madibira","Mbarali","1","4cf35eac-dec9-11ec-9416-9440c9ab47f0"
"1154915","1","1","1","Rujewa","Rujewa","Mbarali","1","379abc5d-dec9-11ec-9416-9440c9ab47f0"
"1154916","1","1","1","Rujewa","Rujewa","Mbarali","1","4b9c5a56-dec9-11ec-9416-9440c9ab47f0"
"1154925","1","1","1","Itete","Itete","Ulanga","1","40a4e467-dec9-11ec-9416-9440c9ab47f0"
"1154925","1","2","2","Mavimba","Milola","Ulanga","1","40a4f5b2-dec9-11ec-9416-9440c9ab47f0"
"1154926","1","1","1","Mavimba","Milola","Ulanga","1","4ad4e8e5-dec9-11ec-9416-9440c9ab47f0"
"1154926","1","2","2","Mbuyuni","Minepa","Ulanga","1","4ad4fad4-dec9-11ec-9416-9440c9ab47f0"
"1154927","1","1","1","Itete","Itete","Ulanga","1","4374a217-dec9-11ec-9416-9440c9ab47f0"
"1154927","1","2","2","Mavimba","Milola","Ulanga","1","4374b466-dec9-11ec-9416-9440c9ab47f0"
